basis,k,sd_ols,sd_ridge_0.1,ratio_ols_over_ridge
Индикаторный,1,6.70493,0.01992,336.643
Индикаторный,2,3.92898,0.02416,162.602
Индикаторный,3,5.35762,0.03167,169.188
Индикаторный,4,6.05674,0.03342,181.221
Индикаторный,5,5.17107,0.02344,220.588
Индикаторный,6,5.88461,0.02335,252.055
Индикаторный,7,5.32943,0.01911,278.911
Индикаторный,8,4.53724,0.02096,216.472
Индикаторный,9,4.39302,0.02704,162.438
Полиномиальный,1,13.28534,0.03337,398.169
Полиномиальный,2,233.05067,0.03465,6725.548
Полиномиальный,3,1210.21582,0.02072,58406.979
Полиномиальный,4,2457.29866,0.01128,217834.125
Полиномиальный,5,1644.97357,0.0113,145519.904
Полиномиальный,6,1516.92056,0.01428,106227.561
Полиномиальный,7,1123.06834,0.01661,67610.875
Полиномиальный,8,1920.50414,0.01805,106418.115
Полиномиальный,9,1463.20184,0.01882,77750.749
Тригонометрический,1,0.67055,0.01905,35.193
Тригонометрический,2,0.01413,0.01511,0.936
Тригонометрический,3,0.0119,0.01206,0.986
Тригонометрический,4,2.94447,0.03182,92.527
Тригонометрический,5,2.96956,0.03011,98.61
Тригонометрический,6,3.03364,0.03204,94.683
Тригонометрический,7,3.00562,0.02925,102.754
Тригонометрический,8,3.35035,0.03538,94.706
Тригонометрический,9,3.1084,0.03273,94.971
