kernel,h,loo_rmse,test_rmse,test_mae,test_r2
gaussian,0.08,0.85526,0.56079,0.31375,0.66575
gaussian,0.12,0.83641,0.54909,0.29494,0.67955
gaussian,0.18,0.8244,0.5437,0.2742,0.6858
gaussian,0.25,0.81844,0.53878,0.26313,0.69147
gaussian,0.35,0.82002,0.53108,0.25692,0.70023
gaussian,0.5,0.83354,0.52673,0.26242,0.70511
gaussian,0.8,0.87562,0.54757,0.31672,0.68132
epanechnikov,0.08,0.91358,0.60078,0.34959,0.61638
epanechnikov,0.12,0.87391,0.56648,0.32523,0.65893
epanechnikov,0.18,0.85587,0.56429,0.31652,0.66156
epanechnikov,0.25,0.8345,0.54611,0.29576,0.68302
epanechnikov,0.35,0.82627,0.5413,0.27451,0.68857
epanechnikov,0.5,0.81616,0.54472,0.26602,0.68463
epanechnikov,0.8,0.82253,0.52955,0.25219,0.70195
triangular,0.08,0.92675,0.61773,0.35901,0.59442
triangular,0.12,0.88546,0.57803,0.33021,0.64488
triangular,0.18,0.86237,0.56879,0.32011,0.65614
triangular,0.25,0.84057,0.55104,0.30248,0.67727
triangular,0.35,0.82992,0.54413,0.28285,0.68531
triangular,0.5,0.81996,0.54539,0.26856,0.68385
triangular,0.8,0.82044,0.53158,0.2562,0.69965
quartic,0.08,0.94255,0.6226,0.36686,0.58801
quartic,0.12,0.89135,0.57678,0.32947,0.64642
quartic,0.18,0.86158,0.56599,0.32089,0.65951
quartic,0.25,0.84526,0.55461,0.30658,0.67307
quartic,0.35,0.83103,0.54451,0.28603,0.68487
quartic,0.5,0.82167,0.5446,0.2689,0.68477
quartic,0.8,0.81739,0.53516,0.25874,0.6956
