kernel,k,loo_rmse,test_rmse,test_mae,test_r2
gaussian,3,0.8905,0.61658,0.35668,0.59594
gaussian,5,0.85165,0.57219,0.31147,0.65201
gaussian,8,0.82775,0.54991,0.28953,0.67859
gaussian,10,0.82419,0.55066,0.28444,0.67771
gaussian,12,0.82627,0.54432,0.27715,0.68509
gaussian,15,0.82858,0.53825,0.26615,0.69207
gaussian,20,0.83449,0.53221,0.25778,0.69895
epanechnikov,3,1.02644,0.72898,0.39857,0.43518
epanechnikov,5,0.92692,0.62604,0.36109,0.58344
epanechnikov,8,0.87037,0.56754,0.32249,0.65764
epanechnikov,10,0.85173,0.56474,0.31918,0.66102
epanechnikov,12,0.83887,0.55878,0.31237,0.66813
epanechnikov,15,0.83598,0.55253,0.304,0.67552
epanechnikov,20,0.82089,0.54086,0.28192,0.68908
triangular,3,1.03923,0.73065,0.39618,0.43259
triangular,5,0.94052,0.64482,0.36632,0.55807
triangular,8,0.88164,0.57842,0.32885,0.6444
triangular,10,0.86035,0.57292,0.32396,0.65113
triangular,12,0.84495,0.56427,0.31703,0.66159
triangular,15,0.83976,0.55778,0.30942,0.66933
triangular,20,0.82484,0.54636,0.29124,0.68272
quartic,3,1.05575,0.72602,0.39671,0.43975
quartic,5,0.94849,0.65581,0.37319,0.54287
quartic,8,0.8902,0.57748,0.33071,0.64555
quartic,10,0.86438,0.57174,0.32601,0.65256
quartic,12,0.8467,0.56731,0.32046,0.65793
quartic,15,0.83977,0.55977,0.31182,0.66696
quartic,20,0.82585,0.5481,0.29582,0.6807
