basis,m,train_rmse,test_rmse,train_r2,test_r2
Индикаторный,3,0.10184,0.09618,0.99324,0.99262
Индикаторный,5,0.10183,0.09657,0.99325,0.99256
Индикаторный,7,0.10105,0.09609,0.99335,0.99263
Индикаторный,9,0.10149,0.09657,0.99329,0.99256
Индикаторный,11,0.0994,0.09564,0.99356,0.9927
Индикаторный,13,0.10002,0.09656,0.99348,0.99256
Индикаторный,15,0.09905,0.10285,0.99361,0.99156
Полиномиальный,3,0.10179,0.09675,0.99325,0.99253
Полиномиальный,5,0.10165,0.09629,0.99327,0.9926
Полиномиальный,7,0.10159,0.09703,0.99328,0.99249
Полиномиальный,9,0.10155,0.0968,0.99328,0.99252
Полиномиальный,11,0.10144,0.09641,0.9933,0.99258
Полиномиальный,13,0.10142,0.09638,0.9933,0.99259
Полиномиальный,15,0.10139,0.0963,0.9933,0.9926
Тригонометрический,3,0.10205,0.09684,0.99322,0.99252
Тригонометрический,5,0.10179,0.09541,0.99325,0.99274
Тригонометрический,7,0.10133,0.09372,0.99331,0.99299
Тригонометрический,9,0.10119,0.09357,0.99333,0.99302
Тригонометрический,11,0.10087,0.0946,0.99337,0.99286
Тригонометрический,13,0.09993,0.09843,0.9935,0.99227
Тригонометрический,15,0.09987,0.09815,0.9935,0.99231
